72 authors x 7 steps; 0 done, 504 to run
[1/504] 3381418 n=25 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (12.2s/call, ~102 min left)
[2/504] 3381418 n=50 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (7.3s/call, ~61 min left)
[3/504] 3381418 n=100 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (5.8s/call, ~48 min left)
[4/504] 3381418 n=200 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (5.0s/call, ~41 min left)
[5/504] 3381418 n=400 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (4.5s/call, ~37 min left)
[6/504] 3381418 n=800 -> {'gender': 'male', 'age_band': '33-47', 'sign': 'Libra'} (4.3s/call, ~35 min left)
[7/504] 3381418 n=1600 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (4.2s/call, ~35 min left)
[8/504] 3848859 n=25 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (4.1s/call, ~34 min left)
[9/504] 3848859 n=50 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (3.9s/call, ~32 min left)
[10/504] 3848859 n=100 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Libra'} (3.8s/call, ~31 min left)
[11/504] 3848859 n=200 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (3.7s/call, ~30 min left)
[12/504] 3848859 n=400 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (3.6s/call, ~29 min left)
[13/504] 3848859 n=800 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Capricorn'} (3.6s/call, ~29 min left)
[14/504] 3848859 n=1600 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Leo'} (3.6s/call, ~29 min left)
[15/504] 3801191 n=25 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (3.5s/call, ~29 min left)
[16/504] 3801191 n=50 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Scorpio'} (3.5s/call, ~28 min left)
[17/504] 3801191 n=100 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Leo'} (3.4s/call, ~28 min left)
[18/504] 3801191 n=200 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (3.4s/call, ~27 min left)
[19/504] 3801191 n=400 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Leo'} (3.3s/call, ~27 min left)
[20/504] 3801191 n=800 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Scorpio'} (3.3s/call, ~27 min left)
[21/504] 3801191 n=1600 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Scorpio'} (3.4s/call, ~27 min left)
[22/504] 1796990 n=25 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Libra'} (3.3s/call, ~27 min left)
